Year,Institution_raw,doctorate_by_research,masters_by_research,hdr_completions,hdr_has_suppressed_np,total_completions,source,HEP_Code,Institution_canonical,rbg_total,rbg_rtp,rbg_rsp_like,rbg_total_covid_adj
2016,Southern Cross University,60.0,6.0,66.0,False,2471.0,legacy_xls_table8,3038,Southern Cross University,7882839,0.0,3202881.0,7882839.0
2016,The University of New England,111.0,11.0,122.0,False,3326.0,legacy_xls_table8,3039,University of New England,15777898,0.0,6867208.0,15777898.0
2016,The University of Newcastle,228.0,,228.0,True,6985.0,legacy_xls_table8,3014,University of Newcastle,41325807,0.0,18521770.0,41325807.0
2016,The University of Sydney,679.0,194.0,873.0,False,14211.0,legacy_xls_table8,3040,The University of Sydney,180905301,0.0,83501214.0,180905301.0
2016,University of New South Wales,531.0,99.0,630.0,False,12309.0,legacy_xls_table8,3013,University of New South Wales,164081786,0.0,73405081.0,164081786.0
2016,University of Technology Sydney,178.0,28.0,206.0,False,10126.0,legacy_xls_table8,3016,University of Technology Sydney,27045701,0.0,10688454.0,27045701.0
2016,University of Wollongong,235.0,40.0,275.0,False,6970.0,legacy_xls_table8,1058,University of Wollongong,36142266,0.0,13819595.0,36142266.0
2016,Western Sydney University,130.0,,130.0,True,9190.0,legacy_xls_table8,3004,Western Sydney University,18171176,0.0,7464299.0,18171176.0
2016,Deakin University,259.0,,259.0,True,10458.0,legacy_xls_table8,3030,Deakin University,29100993,0.0,11052965.0,29100993.0
2016,Federation University Australia(a),24.0,2.0,26.0,False,3198.0,legacy_xls_table8,2154,Federation University Australia,3994058,0.0,1600080.0,3994058.0
2016,La Trobe University,181.0,21.0,202.0,False,8875.0,legacy_xls_table8,3020,La Trobe University,29456891,0.0,11510981.0,29456891.0
2016,Monash University,716.0,,716.0,True,18023.0,legacy_xls_table8,3035,Monash University,155160168,0.0,74599725.0,155160168.0
2016,RMIT University,246.0,34.0,280.0,False,16731.0,legacy_xls_table8,3034,Royal Melbourne Institute of Technology,33378279,0.0,12288157.0,33378279.0
2016,Swinburne University of Technology,121.0,11.0,132.0,False,6668.0,legacy_xls_table8,2177,Swinburne University of Technology,18390724,0.0,6664255.0,18390724.0
2016,The University of Melbourne,755.0,146.0,901.0,False,19285.0,legacy_xls_table8,3036,The University of Melbourne,185051844,0.0,90001835.0,185051844.0
2016,University of Divinity,18.0,2.0,20.0,False,446.0,legacy_xls_table8,4331,University of Divinity,1524294,0.0,471622.0,1524294.0
2016,Victoria University,118.0,,118.0,True,7387.0,legacy_xls_table8,3007,Victoria University,11417455,0.0,4301296.0,11417455.0
2016,Bond University,23.0,16.0,39.0,False,1846.0,legacy_xls_table8,3003,Bond University ,3851835,0.0,1926609.0,3851835.0
2016,CQUniversity,57.0,6.0,63.0,False,3889.0,legacy_xls_table8,2200,Central Queensland University,5951472,0.0,2408454.0,5951472.0
2016,Griffith University,333.0,21.0,354.0,False,10809.0,legacy_xls_table8,3032,Griffith University,38068583,0.0,15741710.0,38068583.0
2016,James Cook University,134.0,10.0,144.0,False,4100.0,legacy_xls_table8,1019,James Cook University,25086480,0.0,11418948.0,25086480.0
2016,Queensland University of Technology,303.0,128.0,431.0,False,11543.0,legacy_xls_table8,3042,Queensland University of Technology,50167105,0.0,19629158.0,50167105.0
2016,The University of Queensland,731.0,91.0,822.0,False,12045.0,legacy_xls_table8,3019,The University of Queensland,176655314,0.0,84804893.0,176655314.0
2016,University of Southern Queensland,79.0,,79.0,True,4472.0,legacy_xls_table8,2201,University of Southern Queensland,8273227,0.0,2974588.0,8273227.0
2016,University of the Sunshine Coast,28.0,6.0,34.0,False,2048.0,legacy_xls_table8,3043,University of the Sunshine Coast,4761828,0.0,2488112.0,4761828.0
2016,Curtin University of Technology,261.0,46.0,307.0,False,11157.0,legacy_xls_table8,2236,Curtin University,41290539,0.0,16538140.0,41290539.0
2016,Edith Cowan University,67.0,23.0,90.0,False,5428.0,legacy_xls_table8,2235,Edith Cowan University,11481866,0.0,4241360.0,11481866.0
2016,Murdoch University,110.0,,110.0,True,5565.0,legacy_xls_table8,1034,Murdoch University,18641169,0.0,8074373.0,18641169.0
2016,The University of Notre Dame Australia,8.0,,8.0,True,2605.0,legacy_xls_table8,3044,The University of Notre Dame Australia,1516024,0.0,730578.0,1516024.0
2016,The University of Western Australia,349.0,48.0,397.0,False,7299.0,legacy_xls_table8,1055,The University of Western Australia,91319416,0.0,43784634.0,91319416.0
2016,Flinders University,172.0,13.0,185.0,False,6073.0,legacy_xls_table8,3029,Flinders University,27669249,0.0,11920937.0,27669249.0
2016,The University of Adelaide,333.0,72.0,405.0,False,6941.0,legacy_xls_table8,3010,The University of Adelaide,87326232,0.0,41726828.0,87326232.0
2016,Torrens University Australia Limited,0.0,0.0,0.0,False,916.0,legacy_xls_table8,4449,Torrens University Australia,49500,0.0,2038.0,49500.0
2016,University of South Australia,199.0,,199.0,True,7339.0,legacy_xls_table8,3027,University of South Australia,34717915,0.0,14681239.0,34717915.0
2016,University of Tasmania,198.0,22.0,220.0,False,6925.0,legacy_xls_table8,3045,University of Tasmania,43188276,0.0,19035741.0,43188276.0
2016,Batchelor Institute of Indigenous Tertiary Education(b),0.0,0.0,0.0,False,0.0,legacy_xls_table8,2246,Batchelor Institute of Indigenous Tertiary Education,357738,0.0,141379.0,357738.0
