HEP_Code,Institution_raw,Year,Cohort,doctorate_by_research,masters_by_research,hdr_completions,hdr_has_suppressed_lt5,Institution_canonical,total_completions,rbg_total,rbg_rtp,rbg_rsp_like,rbg_total_covid_adj
3030,Deakin University,2023,ATN,313.0,18.0,331.0,False,Deakin University,13284.0,42829550,23997700.0,18831850.0,42829550.0
2235,Edith Cowan University,2023,non-aligned,106.0,34.0,140.0,False,Edith Cowan University,6089.0,10281811,6580496.0,3701315.0,10281811.0
2154,Federation University Australia,2023,RUN,38.0,6.0,44.0,False,Federation University Australia,3233.0,4157383,2974444.0,1182939.0,4157383.0
3029,Flinders University,2023,IRU,135.0,8.0,143.0,False,Flinders University,5419.0,30849454,16850703.0,13998751.0,30849454.0
3032,Griffith University,2023,IRU,294.0,51.0,345.0,False,Griffith University,9305.0,42175399,26006458.0,16168941.0,42175399.0
1019,James Cook University,2023,IRU,99.0,20.0,119.0,False,James Cook University,4612.0,17631072,10432319.0,7198753.0,17631072.0
3020,La Trobe University,2023,IRU,184.0,58.0,242.0,False,La Trobe University,8075.0,33333108,17964869.0,15368239.0,33333108.0
3025,Macquarie University,2023,non-aligned,268.0,247.0,515.0,False,Macquarie University,8574.0,48530421,31331018.0,17199403.0,48530421.0
3035,Monash University,2023,Go8,968.0,55.0,1023.0,False,Monash University,23134.0,209259325,107450028.0,101809297.0,209259325.0
1034,Murdoch University,2023,IRU,92.0,43.0,135.0,False,Murdoch University,4666.0,16082128,9700041.0,6382087.0,16082128.0
3042,Queensland University of Technology,2023,non-aligned,285.0,95.0,380.0,False,Queensland University of Technology,10535.0,52786093,31692976.0,21093117.0,52786093.0
3034,Royal Melbourne Institute of Technology,2023,ATN,400.0,35.0,435.0,False,Royal Melbourne Institute of Technology,17944.0,42474565,27264714.0,15209851.0,42474565.0
3038,Southern Cross University,2023,RUN,42.0,11.0,53.0,False,Southern Cross University,4192.0,7138417,4129550.0,3008867.0,7138417.0
2177,Swinburne University of Technology,2023,non-aligned,226.0,24.0,250.0,False,Swinburne University of Technology,8491.0,25138998,15728868.0,9410130.0,25138998.0
3033,The Australian National University,2023,Go8,377.0,26.0,403.0,False,The Australian National University,6371.0,111732293,52476862.0,59255431.0,111732293.0
3010,The University of Adelaide,2023,Go8,326.0,60.0,386.0,False,The University of Adelaide,7377.0,98356628,50193228.0,48163400.0,98356628.0
3036,The University of Melbourne,2023,Go8,764.0,96.0,860.0,False,The University of Melbourne,22194.0,234362937,114471132.0,119891805.0,234362937.0
3044,The University of Notre Dame Australia,2023,non-aligned,17.0,16.0,33.0,False,The University of Notre Dame Australia,2401.0,2739981,2222326.0,517655.0,2739981.0
3019,The University of Queensland,2023,Go8,741.0,56.0,797.0,False,The University of Queensland,13850.0,180611789,94870189.0,85741600.0,180611789.0
3040,The University of Sydney,2023,Go8,780.0,163.0,943.0,False,The University of Sydney,20718.0,192353810,95933704.0,96420106.0,192353810.0
1055,The University of Western Australia,2023,Go8,335.0,38.0,373.0,False,The University of Western Australia,6427.0,85047271,42064772.0,42982499.0,85047271.0
4449,Torrens University Australia,2023,non-aligned,2.0,2.0,4.0,True,Torrens University Australia,4702.0,436616,208714.0,227902.0,436616.0
2241,University of Canberra,2023,IRU,77.0,7.0,84.0,False,University of Canberra,3906.0,7351273,4001021.0,3350252.0,7351273.0
4331,University of Divinity,2023,non-aligned,7.0,0.0,7.0,False,University of Divinity,448.0,974077,513984.0,460093.0,974077.0
3039,University of New England,2023,RUN,75.0,15.0,90.0,False,University of New England,3556.0,17907725,9929354.0,7978371.0,17907725.0
3013,University of New South Wales,2023,Go8,717.0,84.0,801.0,False,University of New South Wales,18433.0,196013585,97780933.0,98232652.0,196013585.0
3014,University of Newcastle,2023,ATN,229.0,8.0,237.0,False,University of Newcastle,7475.0,54950636,30662349.0,24288287.0,54950636.0
3027,University of South Australia,2023,ATN,137.0,36.0,173.0,False,University of South Australia,7212.0,33186798,16956684.0,16230114.0,33186798.0
