HEP Code,Higher Education Provider,Year,State/Territory,Cohort,Doctorate by Research,Masters by Research
3034,Royal Melbourne Institute of Technology,2014,VIC,ATN,237,39
3038,Southern Cross University,2014,NSW,RUN,31,<5
2177,Swinburne University of Technology,2014,VIC,non-aligned,124,7
3033,The Australian National University,2014,ACT,Go8,360,39
3010,The University of Adelaide,2014,SA,Go8,334,52
3036,The University of Melbourne,2014,VIC,Go8,590,130
3044,The University of Notre Dame Australia,2014,WA,non-aligned,12,5
3019,The University of Queensland,2014,QLD,Go8,736,93
3040,The University of Sydney,2014,NSW,Go8,653,194
1055,The University of Western Australia,2014,WA,Go8,258,48
2241,University of Canberra,2014,ACT,IRU,57,<5
4331,University of Divinity,2014,VIC,non-aligned,<5,<5
3039,University of New England,2014,NSW,RUN,81,7
3013,University of New South Wales,2014,NSW,Go8,633,142
3014,University of Newcastle,2014,NSW,ATN,194,12
3027,University of South Australia,2014,SA,ATN,161,19
2201,University of Southern Queensland,2014,QLD,RUN,65,5
3045,University of Tasmania,2014,TAS,non-aligned,153,13
3016,University of Technology Sydney,2014,NSW,ATN,173,33
3043,University of the Sunshine Coast,2014,QLD,RUN,18,<5
1058,University of Wollongong,2014,NSW,non-aligned,238,51
3007,Victoria University,2014,VIC,non-aligned,102,13
3004,Western Sydney University,2014,NSW,IRU,107,15
3006,Australian Catholic University,2013,OTHER,non-aligned,31,9
3003,Bond University ,2013,QLD,non-aligned,25,<5
2200,Central Queensland University,2013,QLD,RUN,44,10
3001,Charles Darwin University,2013,NT,non-aligned,17,5
3005,Charles Sturt University,2013,NSW,RUN,67,5
2236,Curtin University,2013,WA,ATN,242,39
3030,Deakin University,2013,VIC,ATN,174,14
2235,Edith Cowan University,2013,WA,non-aligned,84,27
2154,Federation University Australia,2013,VIC,RUN,18,<5
3029,Flinders University,2013,SA,IRU,96,10
3032,Griffith University,2013,QLD,IRU,186,12
1019,James Cook University,2013,QLD,IRU,87,11
3020,La Trobe University,2013,VIC,IRU,219,19
3025,Macquarie University,2013,NSW,non-aligned,287,10
3035,Monash University,2013,VIC,Go8,583,131
1034,Murdoch University,2013,WA,IRU,84,13
3042,Queensland University of Technology,2013,QLD,non-aligned,284,90
3034,Royal Melbourne Institute of Technology,2013,VIC,ATN,249,50
3038,Southern Cross University,2013,NSW,RUN,58,0
2177,Swinburne University of Technology,2013,VIC,non-aligned,127,14
3033,The Australian National University,2013,ACT,Go8,332,29
3010,The University of Adelaide,2013,SA,Go8,286,47
3036,The University of Melbourne,2013,VIC,Go8,608,136
3044,The University of Notre Dame Australia,2013,WA,non-aligned,8,<5
3019,The University of Queensland,2013,QLD,Go8,673,79
3040,The University of Sydney,2013,NSW,Go8,702,199
1055,The University of Western Australia,2013,WA,Go8,288,58
2241,University of Canberra,2013,ACT,IRU,55,7
4331,University of Divinity,2013,VIC,non-aligned,7,6
3039,University of New England,2013,NSW,RUN,71,12
3013,University of New South Wales,2013,NSW,Go8,610,131
3014,University of Newcastle,2013,NSW,ATN,195,30
3027,University of South Australia,2013,SA,ATN,193,19
2201,University of Southern Queensland,2013,QLD,RUN,57,7
3045,University of Tasmania,2013,TAS,non-aligned,152,26
3016,University of Technology Sydney,2013,NSW,ATN,167,37
3043,University of the Sunshine Coast,2013,QLD,RUN,19,5
1058,University of Wollongong,2013,NSW,non-aligned,199,74
3007,Victoria University,2013,VIC,non-aligned,60,13
3004,Western Sydney University,2013,NSW,IRU,134,22
3006,Australian Catholic University,2012,OTHER,non-aligned,11,9
3003,Bond University ,2012,QLD,non-aligned,23,0
2200,Central Queensland University,2012,QLD,RUN,23,9
3001,Charles Darwin University,2012,NT,non-aligned,23,6
3005,Charles Sturt University,2012,NSW,RUN,50,5
2236,Curtin University,2012,WA,ATN,214,28
