HEP_Code,Institution,Cohort,Year,is_go8,is_covid_year,growth_hdr_completions_pct,growth_rbg_total_pct,growth_rbg_rtp_pct,growth_rbg_rsp_pct
1019,James Cook University,IRU,2016,0,0,5.715841383994835,9.163800861219329,0.0,14.783582423193309
1019,James Cook University,IRU,2017,0,0,-4.255961441879563,7.534793116016303,1646.646455505617,12.057095774392579
1019,James Cook University,IRU,2018,0,0,-24.512245803298516,-0.6430715502961704,1.8218013522780296,-3.425936459275647
1019,James Cook University,IRU,2019,0,0,18.540322333136228,-2.9183340548648573,-1.049225201080617,-5.129329438754837
1019,James Cook University,IRU,2020,0,0,-14.014663174324138,-2.0228092624233085,-0.9404595020846784,-3.3453355134490437
1019,James Cook University,IRU,2021,0,1,-4.52565915881209,29.511099338263236,-2.2534082827586843,58.52031871898831
1019,James Cook University,IRU,2022,0,0,16.205585933437128,-61.842451627365236,-21.11912972638912,-103.1709654556293
1019,James Cook University,IRU,2023,0,0,-6.506359334706158,-4.885851518468698,-7.064119978704753,-1.642474058036747
1019,James Cook University,IRU,2024,0,0,-8.777561088238617,17.703617210846545,15.640768874228428,20.61951297113822
1034,Murdoch University,IRU,2016,0,0,11.075136429270316,-3.3601571991550117,0.0,-0.7832395799489689
1034,Murdoch University,IRU,2017,0,0,-8.40831172105414,-1.9144147254237964,1612.2018347115763,2.132281075169473
1034,Murdoch University,IRU,2018,0,0,0.8733679968754515,-2.595375502836106,-1.9181014483972803,-3.4259386659956093
1034,Murdoch University,IRU,2019,0,0,-11.020314013361432,-2.878536094742401,-1.093310191507868,-5.129335381654698
1034,Murdoch University,IRU,2020,0,0,5.661889399950759,-0.08241452892008283,2.3823017789403877,-3.345340262840857
1034,Murdoch University,IRU,2021,0,1,6.224230887722104,44.00891543892982,2.667079257422955,81.94214219944236
1034,Murdoch University,IRU,2022,0,0,25.704510298989103,-43.83200688272133,-4.171389443266094,-79.51939447039447
1034,Murdoch University,IRU,2023,0,0,-10.53605156578259,-7.472560562276698,-1.3043476378882701,-16.17442041190813
1034,Murdoch University,IRU,2024,0,0,7.833184326990672,15.830276247069364,17.551512364909172,13.156111166130025
1055,The University of Western Australia,Go8,2016,1,0,6.504242641404456,-2.122816645281489,0.0,-3.580815741113952
1055,The University of Western Australia,Go8,2017,1,0,-10.620049890755201,3.877136871555109,1768.3145488793464,7.299843225566249
1055,The University of Western Australia,Go8,2018,1,0,-5.468988629661986,-0.4832010168637879,1.3040678977485953,-2.331413146544392
1055,The University of Western Australia,Go8,2019,1,0,-3.9220713153281572,-3.6127891331034334,-2.193657358191814,-5.129328180584025
1055,The University of Western Australia,Go8,2020,1,0,-4.403227015050337,-2.5002876570617616,-1.72731608125396,-3.345338662442643
1055,The University of Western Australia,Go8,2021,1,1,0.0,39.96472417482941,-1.0297869143695237,71.4940520427259
1055,The University of Western Australia,Go8,2022,1,0,11.527901002319307,-44.024623206630054,-8.134567510436952,-70.21446639455391
1055,The University of Western Australia,Go8,2023,1,0,6.650649744138892,-0.33657955547958807,-1.0611710359114568,0.3776610092721455
1055,The University of Western Australia,Go8,2024,1,0,-11.343592966337201,4.747061497843674,4.3451255776972175,5.138857630409177
1058,University of Wollongong,non-aligned,2016,0,0,1.0969031370573923,3.5506123087564845,0.0,-0.13024457931294364
1058,University of Wollongong,non-aligned,2017,0,0,1.8018505502677584,1.7973310560407185,1693.7007396522945,2.132283328085549
1058,University of Wollongong,non-aligned,2018,0,0,3.853366400224356,-0.8534008218180844,0.26637414962848993,-2.679044582391654
1058,University of Wollongong,non-aligned,2019,0,0,-6.385147198653307,3.2589306045146316,0.436414442337707,7.760815468723692
1058,University of Wollongong,non-aligned,2020,0,0,-10.821358464023234,4.504030115570146,3.6650236446995166,5.780601735090585
1058,University of Wollongong,non-aligned,2021,0,1,16.516847756770492,35.42473807894169,2.0502485672469817,70.99707945750744
1058,University of Wollongong,non-aligned,2022,0,0,-12.909242109389574,-42.06070463596063,-6.203708032562005,-81.49075945945405
