RowKey,HEP_Code,Institution,Cohort,Year,g_rbg_total_pct,g_hdr_completions_next_year_pct
1019_2016,1019,James Cook University,IRU,2016,9.163800861219329,-4.255961441879563
1019_2017,1019,James Cook University,IRU,2017,7.534793116016303,-24.512245803298516
1019_2018,1019,James Cook University,IRU,2018,-0.6430715502961704,18.540322333136228
1019_2019,1019,James Cook University,IRU,2019,-2.9183340548648573,-14.014663174324138
1019_2020,1019,James Cook University,IRU,2020,-2.0228092624233085,16.205585933437128
1019_2022,1019,James Cook University,IRU,2022,-61.842451627365236,-6.506359334706158
1019_2023,1019,James Cook University,IRU,2023,-4.885851518468698,-8.777561088238617
1034_2016,1034,Murdoch University,IRU,2016,-3.3601571991550117,-8.40831172105414
1034_2017,1034,Murdoch University,IRU,2017,-1.9144147254237964,0.8733679968754515
1034_2018,1034,Murdoch University,IRU,2018,-2.595375502836106,-11.020314013361432
1034_2019,1034,Murdoch University,IRU,2019,-2.878536094742401,5.661889399950759
1034_2020,1034,Murdoch University,IRU,2020,-0.08241452892008283,25.704510298989103
1034_2022,1034,Murdoch University,IRU,2022,-43.83200688272133,-10.53605156578259
1034_2023,1034,Murdoch University,IRU,2023,-7.472560562276698,7.833184326990672
1055_2016,1055,The University of Western Australia,Go8,2016,-2.122816645281489,-10.620049890755201
1055_2017,1055,The University of Western Australia,Go8,2017,3.877136871555109,-5.468988629661986
1055_2018,1055,The University of Western Australia,Go8,2018,-0.4832010168637879,-3.9220713153281572
1055_2019,1055,The University of Western Australia,Go8,2019,-3.6127891331034334,-4.403227015050337
1055_2020,1055,The University of Western Australia,Go8,2020,-2.5002876570617616,11.527901002319307
1055_2022,1055,The University of Western Australia,Go8,2022,-44.024623206630054,6.650649744138892
1055_2023,1055,The University of Western Australia,Go8,2023,-0.33657955547958807,-11.343592966337201
1058_2016,1058,University of Wollongong,non-aligned,2016,3.5506123087564845,1.8018505502677584
1058_2017,1058,University of Wollongong,non-aligned,2017,1.7973310560407185,3.853366400224356
1058_2018,1058,University of Wollongong,non-aligned,2018,-0.8534008218180844,-6.385147198653307
1058_2019,1058,University of Wollongong,non-aligned,2019,3.2589306045146316,-10.821358464023234
1058_2020,1058,University of Wollongong,non-aligned,2020,4.504030115570146,-12.909242109389574
1058_2022,1058,University of Wollongong,non-aligned,2022,-42.06070463596063,-4.839654086184986
1058_2023,1058,University of Wollongong,non-aligned,2023,-0.533822640178272,4.049136135473663
2154_2016,2154,Federation University Australia,RUN,2016,3.9278881251208375,23.84110234449981
2154_2017,2154,Federation University Australia,RUN,2017,-3.3105099119790538,28.76820724517808
2154_2018,2154,Federation University Australia,RUN,2018,-3.01625741758631,-9.531017980432477
2154_2019,2154,Federation University Australia,RUN,2019,-3.37569700152347,30.01045924503383
2154_2020,2154,Federation University Australia,RUN,2020,0.6202957772465822,-15.76289442035832
2154_2022,2154,Federation University Australia,RUN,2022,-28.973243880327892,7.061756721395307
2154_2023,2154,Federation University Australia,RUN,2023,13.480997089745017,14.76359988060647
2177_2016,2177,Swinburne University of Technology,non-aligned,2016,3.444298684744851,7.3025135014890274
2177_2017,2177,Swinburne University of Technology,non-aligned,2017,0.2945243311273771,26.452876747706355
2177_2018,2177,Swinburne University of Technology,non-aligned,2018,-2.144820121921498,2.6668247082161756
2177_2019,2177,Swinburne University of Technology,non-aligned,2019,-0.9994180205740832,-11.712535723741269
2177_2020,2177,Swinburne University of Technology,non-aligned,2020,6.801049571068063,16.598513747426047
2177_2022,2177,Swinburne University of Technology,non-aligned,2022,-28.23135632792244,-1.9802627296179764
2177_2023,2177,Swinburne University of Technology,non-aligned,2023,9.822141464450596,9.893994785490356
2200_2016,2200,Central Queensland University,RUN,2016,3.643358708114164,-13.58015411590614
2200_2017,2200,Central Queensland University,RUN,2017,-2.490914969533975,-13.613217432458002
2200_2018,2200,Central Queensland University,RUN,2018,-0.40098844750460216,0.0
2200_2019,2200,Central Queensland University,RUN,2019,4.508232579156335,-11.000089521432876
2200_2020,2200,Central Queensland University,RUN,2020,4.204516982312256,33.98678256223513
2200_2022,2200,Central Queensland University,RUN,2022,-32.64218212201637,-12.629372532429217
2200_2023,2200,Central Queensland University,RUN,2023,7.6749407098736455,32.542240043462776
2201_2016,2201,University of Southern Queensland,RUN,2016,6.1188519388094775,-8.594242980072497
2201_2017,2201,University of Southern Queensland,RUN,2017,0.4832604910861349,7.410797215372167
2201_2018,2201,University of Southern Queensland,RUN,2018,3.117624028986299,21.357410029805912
2201_2019,2201,University of Southern Queensland,RUN,2019,0.4699102672269362,9.180754925312318
2201_2020,2201,University of Southern Queensland,RUN,2020,7.352565348458917,1.4706147389695445
2201_2022,2201,University of Southern Queensland,RUN,2022,-23.31220942420451,-0.7326040092072716
2201_2023,2201,University of Southern Queensland,RUN,2023,7.20850750801425,-3.745756253490118
2235_2016,2235,Edith Cowan University,non-aligned,2016,4.801374522165247,14.458122881110747
2235_2017,2235,Edith Cowan University,non-aligned,2017,1.3439574995523174,9.180754925312318
2235_2018,2235,Edith Cowan University,non-aligned,2018,-3.0103536019517207,-5.4067221270275745
2235_2019,2235,Edith Cowan University,non-aligned,2019,-4.914162590138815,5.4067221270275745
2235_2020,2235,Edith Cowan University,non-aligned,2020,-1.4671283510590882,25.464221837358014
2235_2022,2235,Edith Cowan University,non-aligned,2022,-35.51753878890658,8.183001824763192
2235_2023,2235,Edith Cowan University,non-aligned,2023,4.087159385448302,-0.7168489478612372
2236_2016,2236,Curtin University,ATN,2016,5.1199943600959585,11.088269957874264
2236_2017,2236,Curtin University,ATN,2017,6.579028820691235,-10.438917026819361
2236_2018,2236,Curtin University,ATN,2018,3.3547387748694035,5.048390543199144
2236_2019,2236,Curtin University,ATN,2019,2.277668858603832,6.8377297444737195
2236_2020,2236,Curtin University,ATN,2020,2.871990449042272,-9.440968447107512
2236_2022,2236,Curtin University,ATN,2022,-36.16577456900316,-2.0000666706669
2236_2023,2236,Curtin University,ATN,2023,0.922112086642457,1.0050335853501124
2241_2016,2241,University of Canberra,IRU,2016,4.730426750690242,-1.5037877364540542
2241_2017,2241,University of Canberra,IRU,2017,0.038307361880640656,11.4410351177745
2241_2018,2241,University of Canberra,IRU,2018,-1.5663625187006147,-19.319122903085884
2241_2019,2241,University of Canberra,IRU,2019,-3.4395570811605936,-37.32042458899429
2241_2020,2241,University of Canberra,IRU,2020,-1.5357343175821825,-14.058195062118939
2241_2022,2241,University of Canberra,IRU,2022,-45.50289822694946,46.05248852911914
2241_2023,2241,University of Canberra,IRU,2023,-13.843612919561465,-30.36824137982217
2246_2018,2246,Batchelor Institute of Indigenous Tertiary Education,non-aligned,2018,-13.603591006970817,0.0
2246_2019,2246,Batchelor Institute of Indigenous Tertiary Education,non-aligned,2019,-10.227954436415132,69.31471805599453
2246_2020,2246,Batchelor Institute of Indigenous Tertiary Education,non-aligned,2020,-3.6870770820403465,-69.31471805599453
2246_2022,2246,Batchelor Institute of Indigenous Tertiary Education,non-aligned,2022,-23.595984537594994,69.31471805599453
2246_2023,2246,Batchelor Institute of Indigenous Tertiary Education,non-aligned,2023,1.589530770981895,69.31471805599453
3001_2016,3001,Charles Darwin University,non-aligned,2016,1.254588284235325,-15.822400521489444
3001_2017,3001,Charles Darwin University,non-aligned,2017,10.66738987294471,-5.884050002293328
3001_2018,3001,Charles Darwin University,non-aligned,2018,5.813968871909125,37.46934494414109
3001_2019,3001,Charles Darwin University,non-aligned,2019,6.082450106415749,-8.701137698963013
3001_2020,3001,Charles Darwin University,non-aligned,2020,0.30087100405857825,-4.082199452025481
3001_2022,3001,Charles Darwin University,non-aligned,2022,-46.77274534669138,4.082199452025481
3001_2023,3001,Charles Darwin University,non-aligned,2023,5.498502361961499,5.8268908123976
3003_2016,3003,Bond University ,non-aligned,2016,14.258723440753762,-26.236426446749086
3003_2017,3003,Bond University ,non-aligned,2017,-0.8589329938331502,-10.536051565782634
3003_2018,3003,Bond University ,non-aligned,2018,-0.6317815452463904,-11.778303565638337
3003_2019,3003,Bond University ,non-aligned,2019,-2.8242909682184347,-18.23215567939549
3003_2020,3003,Bond University ,non-aligned,2020,-1.7035927266311646,-3.0771658666753687
3003_2022,3003,Bond University ,non-aligned,2022,-59.38227821986448,-42.12134650763035
3003_2023,3003,Bond University ,non-aligned,2023,11.72213006331102,73.9667196194838
3004_2016,3004,Western Sydney University,IRU,2016,4.307586365857219,39.22198813581437
3004_2017,3004,Western Sydney University,IRU,2017,0.478700264378773,-4.546237407675768
3004_2018,3004,Western Sydney University,IRU,2018,0.5100188468240674,8.040042543803771
3004_2019,3004,Western Sydney University,IRU,2019,4.384459602417934,-3.493805136128003
3004_2020,3004,Western Sydney University,IRU,2020,3.85516678301272,-39.16240566962932
3004_2022,3004,Western Sydney University,IRU,2022,-29.771192355114806,35.61593471240103
3004_2023,3004,Western Sydney University,IRU,2023,8.460677503436287,-13.095606284679029
3005_2016,3005,Charles Sturt University,RUN,2016,4.907403990359072,-16.034265007517945
3005_2017,3005,Charles Sturt University,RUN,2017,1.8391125007248377,-15.234072458201897
3005_2018,3005,Charles Sturt University,RUN,2018,0.8578755555838313,-10.676797542570604
3005_2019,3005,Charles Sturt University,RUN,2019,-2.0449020053316502,6.80534632450156
3005_2020,3005,Charles Sturt University,RUN,2020,-1.97520656571335,8.269171584511348
3005_2022,3005,Charles Sturt University,RUN,2022,-61.102881742321635,0.0
3005_2023,3005,Charles Sturt University,RUN,2023,7.160595217090027,1.5748356968138921
3006_2016,3006,Australian Catholic University,non-aligned,2016,20.023504042229234,-34.574587340654176
3006_2017,3006,Australian Catholic University,non-aligned,2017,2.1132513909394746,55.33852381847861
3006_2018,3006,Australian Catholic University,non-aligned,2018,1.5549428453576652,-28.76820724517808
3006_2019,3006,Australian Catholic University,non-aligned,2019,-1.1880460729152276,-12.405264866997845
3006_2020,3006,Australian Catholic University,non-aligned,2020,-0.42337952524142963,-7.598590697792229
3006_2022,3006,Australian Catholic University,non-aligned,2022,-66.24282509606641,7.598590697792229
3006_2023,3006,Australian Catholic University,non-aligned,2023,-5.186205286463519,2.409755157906046
3007_2016,3007,Victoria University,non-aligned,2016,1.0365643594202112,-4.049136135473663
3007_2017,3007,Victoria University,non-aligned,2017,2.482997305446233,-16.106155736710548
3007_2018,3007,Victoria University,non-aligned,2018,0.17157302247277073,3.809984623226992
3007_2019,3007,Victoria University,non-aligned,2019,-1.86366762378114,12.296171113483556
3007_2020,3007,Victoria University,non-aligned,2020,-0.965770451743353,-11.226730187108114
3007_2022,3007,Victoria University,non-aligned,2022,-43.05184302937235,-17.2469260350943
3007_2023,3007,Victoria University,non-aligned,2023,8.224825151447135,1.1696039763190669
3010_2016,3010,The University of Adelaide,Go8,2016,1.961706659931295,2.4391453124159135
3010_2017,3010,The University of Adelaide,Go8,2017,2.1177897259018863,-3.681397312271617
3010_2018,3010,The University of Adelaide,Go8,2018,-1.2870731424655446,0.4987541511039417
3010_2019,3010,The University of Adelaide,Go8,2019,-3.110158017928555,4.380262265839274
3010_2020,3010,The University of Adelaide,Go8,2020,1.0976334940281163,15.491026968527688
3010_2022,3010,The University of Adelaide,Go8,2022,-39.231443155886225,-12.86620436103405
3010_2023,3010,The University of Adelaide,Go8,2023,12.310936280791651,-11.229295243347082
3013_2016,3013,University of New South Wales,Go8,2016,1.0865986989681886,15.686807280375792
3013_2017,3013,University of New South Wales,Go8,2017,2.989924118762133,3.0730541091040564
3013_2018,3013,University of New South Wales,Go8,2018,0.21480825673165782,9.051400754083172
3013_2019,3013,University of New South Wales,Go8,2019,1.2159264843500495,-22.85668848842004
3013_2020,3013,University of New South Wales,Go8,2020,3.654937280362347,1.5365219064055857
3013_2022,3013,University of New South Wales,Go8,2022,-39.14422854415669,1.7632698650956513
3013_2023,3013,University of New South Wales,Go8,2023,1.2565542124630014,-4.076997756271528
3014_2016,3014,University of Newcastle,ATN,2016,0.5629085730575412,2.8631812674327684
3014_2017,3014,University of Newcastle,ATN,2017,7.264683001025318,7.006756261671665
3014_2018,3014,University of Newcastle,ATN,2018,3.9735465492508837,-5.4067221270275745
3014_2019,3014,University of Newcastle,ATN,2019,1.7285966952020004,16.430305129127643
3014_2020,3014,University of Newcastle,ATN,2020,2.7138322047065344,-15.60793207336646
3014_2022,3014,University of Newcastle,ATN,2022,-37.02386878422992,-22.22993131889286
3014_2023,3014,University of Newcastle,ATN,2023,6.982998447394095,-2.5642430613338263
3016_2016,3016,University of Technology Sydney,ATN,2016,3.6508495259027995,16.92920565036209
3016_2017,3016,University of Technology Sydney,ATN,2017,4.697638295409234,15.882358552665021
3016_2018,3016,University of Technology Sydney,ATN,2018,4.249772367125715,10.290996305742794
3016_2019,3016,University of Technology Sydney,ATN,2019,3.5582463751602234,4.321660149978257
3016_2020,3016,University of Technology Sydney,ATN,2020,7.42484188148147,-9.531017980432566
3016_2022,3016,University of Technology Sydney,ATN,2022,-24.149237746569696,3.9220713153281572
3016_2023,3016,University of Technology Sydney,ATN,2023,4.307939679880235,3.509131981127034
